model_name,biomarker_set,accuracy,precision,recall,f1,AUC
decision_tree,ponti,0.9044294294294295,0.8947994987468672,0.9115147470124587,0.8908235710062732,0.912635002166736
logistic_regression,ponti,0.9261261261261262,0.9195112403935933,0.9210143004570248,0.9214985479268838,0.9861641858624963
neural_network,ponti,0.9617867867867866,0.9534378679007836,0.9692640692640693,0.9595079717030938,0.9627376351718457
xgboost,ponti,0.9290540540540541,0.8998569507547834,0.9480473856209152,0.9171448087189941,0.9802994474637275
knn,ponti,0.9130630630630631,0.9161374023293527,0.915085110967464,0.9075959204350053,0.9743643430812872
decision_tree,semiz,0.9100600600600599,0.9234917118261107,0.9144630124777183,0.9122367994958733,0.9376406820924365
logistic_regression,semiz,0.9343093093093093,0.9203571286814322,0.9395333935929913,0.9413879687563899,0.9852971276229792
neural_network,semiz,0.980930930930931,0.9590476190476191,1.0,0.978305038614636,0.9833082706766918
xgboost,semiz,0.9482732732732732,0.9414024644945698,0.9650966680378446,0.9549154044186862,0.9899463191129858
knn,semiz,0.9233483483483482,0.9448119148204961,0.8950900375405693,0.9035650712560729,0.9734367687266294
decision_tree,zhao,0.9292042042042041,0.9271469167377095,0.9547092776504542,0.9368701163687682,0.9674068219791906
logistic_regression,zhao,0.9536786786786786,0.9425240798073616,0.973134284016637,0.9466029900332226,0.9910805322128852
neural_network,zhao,0.9695945945945945,0.9398937908496732,0.9949999999999999,0.9651803781566178,0.9740256681724073
xgboost,zhao,0.9427177177177176,0.9192315347191509,0.9719015298427063,0.9474910662942578,0.9810307469266236
knn,zhao,0.956081081081081,0.935954862646813,0.9833333333333332,0.9553129605794007,0.9923576319191645
decision_tree,ponti,0.9126126126126126,0.8803783355447443,0.8964364876385338,0.8910897073280235,0.9155834577919648
logistic_regression,ponti,0.929129129129129,0.9152371751055961,0.9304417907513883,0.9231079257859444,0.9848427947802303
neural_network,ponti,0.9673423423423422,0.9498646355775513,0.9894444444444443,0.968468579221786,0.9669000933706815
xgboost,ponti,0.9316816816816816,0.9027454331014703,0.9515832473340214,0.9196719127500919,0.9754591342199028
knn,ponti,0.9125375375375375,0.925202713952714,0.8903070175438597,0.9038820701049856,0.9779576319997446
decision_tree,semiz,0.9206456456456455,0.9318266253869968,0.93859133126935,0.9140682371625569,0.9332632669295788
logistic_regression,semiz,0.9398648648648649,0.9230082492102951,0.9469885120039919,0.9348054377079599,0.9888040438607474
neural_network,semiz,0.9754504504504503,0.9575938944731851,0.9952380952380953,0.9758693974830692,0.9749742063492064
xgboost,semiz,0.9427177177177176,0.9373745422515446,0.9701397725081936,0.9553724346466282,0.9893117898851903
knn,semiz,0.917942942942943,0.9461637953549719,0.8854783640851753,0.9140238617018804,0.9796498202328957
decision_tree,zhao,0.928978978978979,0.9174749987714386,0.9688146167557932,0.9245120861188234,0.9522920293405329
logistic_regression,zhao,0.9563063063063062,0.9297504791390241,0.9718082503787174,0.9503696687410301,0.9896998825233053
neural_network,zhao,0.9617867867867869,0.9392967720685113,0.9783333333333333,0.9579729071155217,0.9589560308972074
xgboost,zhao,0.951051051051051,0.9205044313682758,0.97739898989899,0.9470668526333356,0.9828077705976256
knn,zhao,0.956081081081081,0.9370279866332497,0.9828320802005013,0.956366986288599,0.986499705145216
decision_tree,ponti,0.9018768768768769,0.8889974267218849,0.9071819030642561,0.9153963113622934,0.9321008283871164
logistic_regression,ponti,0.9264264264264263,0.9232685881370092,0.9203948218963699,0.9324188280779468,0.9851727885089963
neural_network,ponti,0.9727477477477476,0.9554294827979039,0.987450980392157,0.9699193760174104,0.9731716741720613
xgboost,ponti,0.9209459459459459,0.9041590354090353,0.9491970121381886,0.936745286815413,0.9812622929438014
knn,ponti,0.9125375375375375,0.9238807189542484,0.9125663517768781,0.9141916936606158,0.9801048571741295
decision_tree,semiz,0.9153903903903903,0.908320896939318,0.9452454288058003,0.8988606257876034,0.9297960220106116
logistic_regression,semiz,0.9343843843843844,0.9230348164906987,0.9485423116615067,0.9332677155679452,0.9887838880627837
neural_network,semiz,0.9782282282282282,0.9608397832817337,0.9944444444444445,0.9766708870635018,0.9798739272423482
xgboost,semiz,0.9507507507507509,0.9404407464740281,0.9730357757137943,0.9484860341858312,0.9864635283494932
knn,semiz,0.9125375375375375,0.9382455602084757,0.89268470306783,0.9236416598026128,0.9800987288948321
decision_tree,zhao,0.9290540540540541,0.9122421326897031,0.9638702147525677,0.9186431347260406,0.9446297857040807
logistic_regression,zhao,0.9507507507507509,0.9387104403164775,0.9703081232492998,0.944193602904481,0.9923828622358034
neural_network,zhao,0.9644894894894895,0.9445564669248879,0.9807142857142856,0.9618479836504271,0.9641090965371655
xgboost,zhao,0.9512012012012011,0.9233322890559734,0.9736904761904762,0.9445883429436062,0.9841581269131326
knn,zhao,0.9587837837837838,0.9388993930905695,0.9770897832817337,0.9461079061838076,0.9900468486836521
decision_tree,ponti,0.9125375375375375,0.9016612554112553,0.9136711654358713,0.9132786905352184,0.905223624919075
logistic_regression,ponti,0.9319069069069068,0.9246389884625179,0.9184518511655408,0.9264380244868049,0.9849560024598725
neural_network,ponti,0.9725225225225225,0.9468828320802004,1.0,0.9716095023148293,0.9747447048995037
xgboost,ponti,0.9346846846846846,0.9178918392819995,0.9474646801426987,0.9133092303273264,0.981663650574086
knn,ponti,0.9177927927927927,0.9195826297025986,0.9231837606837606,0.908780231412878,0.972927498484774
decision_tree,semiz,0.9206456456456458,0.9149601568022622,0.9363579682271632,0.903196016810244,0.9284418844292104
logistic_regression,semiz,0.9399399399399397,0.9281064360476126,0.9405332739156268,0.9257431615164314,0.9879809934626644
neural_network,semiz,0.9781531531531531,0.9532091257555655,1.0,0.975443195582594,0.9798801549327866
xgboost,semiz,0.9536036036036035,0.9293361859794086,0.9688696172248804,0.9496453147391811,0.9851601614666124
knn,semiz,0.9099099099099099,0.9434827878519828,0.908269157742842,0.9044759744294856,0.9784883391065456
decision_tree,zhao,0.9373123123123122,0.9158453844057559,0.9549885583524029,0.9476309665280255,0.961983862662166
logistic_regression,zhao,0.950900900900901,0.931362405374049,0.9682934712346478,0.9468647167772024,0.9893789908734719
neural_network,zhao,0.96996996996997,0.9510872155879895,0.9891812865497076,0.9694061858963614,0.9707679515187255
xgboost,zhao,0.948048048048048,0.931155948025143,0.9810515873015874,0.9473526150240517,0.9872150678026301
knn,zhao,0.9535285285285285,0.9260383890051409,0.9734001292824823,0.9554313452861137,0.9911108999874942
decision_tree,ponti,0.9148648648648647,0.878273302074453,0.8785523102628365,0.9097161421310028,0.9059384401288426
logistic_regression,ponti,0.9262762762762762,0.9292670401493931,0.9302619851768459,0.9208262112188258,0.98336120861099
neural_network,ponti,0.9564564564564565,0.9532403548463921,0.96,0.9538641141141142,0.9600337608727703
xgboost,ponti,0.9345345345345345,0.9275320253959707,0.9435475330483071,0.9200124790410745,0.973140393008169
knn,ponti,0.9154654654654655,0.9201436579416455,0.9019713052685189,0.9025701488026971,0.9772284487957862
decision_tree,semiz,0.9129129129129128,0.8845489336085312,0.9609565580618211,0.9328358003935279,0.9415538053671761
logistic_regression,semiz,0.9344594594594595,0.926197776080129,0.9436029411764707,0.9296727763625305,0.987102556983892
neural_network,semiz,0.9782282282282282,0.9567319814688237,1.0,0.9772435152922958,0.9792466460268319
xgboost,semiz,0.9454954954954955,0.927171907040328,0.9668329915698337,0.9462931998671624,0.9831316330456245
knn,semiz,0.9183183183183183,0.938029382897804,0.9096760755584284,0.9262367645005216,0.9790481118683518
decision_tree,zhao,0.94009009009009,0.9174646014012012,0.9575413578509554,0.9268448330948331,0.9526567334426315
logistic_regression,zhao,0.9535285285285285,0.9402099946836788,0.9684617794486214,0.9503060376729622,0.9864910481516433
neural_network,zhao,0.9618618618618617,0.9395920337832102,0.9824293353705119,0.9598526093854236,0.9628166425713202
xgboost,zhao,0.9425675675675675,0.9263387635756057,0.9691019214703426,0.9418112871362178,0.9849691423175686
knn,zhao,0.9535285285285283,0.9358689616197357,0.9773015873015872,0.9565523559990281,0.993302959939957
decision_tree,ponti,0.9181681681681683,0.9106640933885517,0.9223793392261557,0.8987804574743992,0.9216792821247493
logistic_regression,ponti,0.9292042042042041,0.929723105841527,0.9264464091979571,0.9182947273033479,0.9847696837905817
neural_network,ponti,0.9647147147147148,0.9548564202395472,0.9729055258467024,0.9625702217163319,0.9660964373267509
xgboost,ponti,0.9316816816816816,0.9121681655118188,0.9452468571160522,0.9310662461390933,0.9789761018708388
knn,ponti,0.9068318318318319,0.9228506787330317,0.911991399123752,0.9059544647418429,0.9744946402253915
decision_tree,semiz,0.9264264264264265,0.9162518595955127,0.905041317060768,0.8891532524806284,0.9318525348088968
logistic_regression,semiz,0.9371621621621621,0.92025125029769,0.944182499086591,0.9375375018702087,0.986135340145273
neural_network,semiz,0.9672672672672672,0.9397553239449861,0.9947368421052631,0.9656593699581503,0.9691646395400264
xgboost,semiz,0.9482732732732732,0.928932611506141,0.966696375519905,0.9479685831409969,0.9882001035063148
knn,semiz,0.926051051051051,0.9324509803921568,0.8956465919701214,0.919058441535622,0.9772238639338855
decision_tree,zhao,0.9341591591591591,0.9133343720263225,0.9361108573864328,0.9234655999066016,0.9606420099937901
logistic_regression,zhao,0.9534534534534534,0.9310130718954248,0.9648611111111111,0.9527745392402028,0.9887076095057907
neural_network,zhao,0.9700450450450449,0.9378355592635778,1.0,0.9676321133853201,0.9721367565818365
xgboost,zhao,0.9426426426426427,0.9178387144331417,0.9775438596491227,0.9226732782261662,0.9848625258184083
knn,zhao,0.9590840840840839,0.9361210792131847,0.9704055258467023,0.9558276675564891,0.9926813245234298
decision_tree,ponti,0.9099099099099099,0.9001740072792705,0.8983379039261393,0.9176672712981031,0.9371455170590316
logistic_regression,ponti,0.9262012012012013,0.9257645338837289,0.9262321115417091,0.923862643627406,0.9851639576883386
neural_network,ponti,0.9564564564564565,0.9386524689620664,0.975036075036075,0.9554815044288762,0.958589529654175
xgboost,ponti,0.9315315315315316,0.9151391933585028,0.954260015010789,0.9222405084155444,0.9773357917802363
knn,ponti,0.928978978978979,0.9183198664081017,0.8953459247337966,0.9073548777860113,0.9789063274831463
decision_tree,semiz,0.9288288288288287,0.8994089844175657,0.9499626517273576,0.9188688242651658,0.9263630309486219
logistic_regression,semiz,0.9426426426426426,0.9295394460611851,0.945189198486412,0.9329906125043695,0.9871220009743027
neural_network,semiz,0.9728978978978979,0.9545407636738906,0.9888888888888889,0.9710184372684374,0.9746233006759322
xgboost,semiz,0.9509009009009007,0.9366416040100252,0.9714484741264926,0.945648822745597,0.9897171336790145
knn,semiz,0.9370870870870871,0.9345846233230134,0.8739939379505943,0.9185175081155933,0.9770202893619111
decision_tree,zhao,0.9371621621621621,0.906950280840441,0.9563159737579243,0.9249799921670313,0.9445423308603498
logistic_regression,zhao,0.9508258258258258,0.9355549189372718,0.967391518010713,0.9503825761847079,0.9900481616178126
neural_network,zhao,0.9808558558558558,0.9694461197557173,0.9941176470588236,0.9812893611986068,0.9798690046193916
xgboost,zhao,0.9480480480480479,0.9145984570984572,0.9718067226890756,0.9366614199600736,0.9837215218445238
knn,zhao,0.9565315315315314,0.9324963924963926,0.9763398692810459,0.9554334420060225,0.9889241271303293
decision_tree,ponti,0.8908408408408407,0.9019030749951803,0.9136058897243109,0.8998715039051847,0.924519501340406
logistic_regression,ponti,0.9263513513513514,0.9215171451355662,0.9168043214095846,0.9292747684659449,0.9841053177343811
neural_network,ponti,0.9617117117117117,0.944359857978279,0.9748611111111112,0.9587052360722348,0.9615006572804561
xgboost,ponti,0.9316066066066065,0.9028816526610643,0.9473757924222319,0.9294948601307652,0.9758530289426103
knn,ponti,0.9177927927927929,0.9293650793650794,0.9155755196815569,0.9041718604209761,0.9735138848350493
decision_tree,semiz,0.9263513513513514,0.9042903239691163,0.937080446213573,0.9123089476002896,0.9416392356702289
logistic_regression,semiz,0.9397897897897897,0.9268143397709959,0.9454927017427017,0.9321037746037748,0.9843273563191003
neural_network,semiz,0.9781531531531531,0.9515656565656565,1.0,0.9747144336934468,0.9801766407173089
xgboost,semiz,0.9481231231231231,0.9304511278195488,0.9531757703081232,0.938766213191417,0.990130324790735
knn,semiz,0.9123873873873874,0.9291719948849104,0.8858917681905298,0.9165942409787909,0.9817520516978722
decision_tree,zhao,0.9343093093093093,0.9020785793154215,0.9711029411764706,0.929340891650489,0.9381116327156338
logistic_regression,zhao,0.9506006006006006,0.9244790124287702,0.9670426065162907,0.9486397054749002,0.991093990499151
neural_network,zhao,0.9698198198198199,0.9509536095139811,0.9866666666666667,0.9667386880512258,0.9705873110807322
xgboost,zhao,0.9479729729729728,0.9195109263801214,0.9756132756132756,0.9415207051454348,0.984407947228061
knn,zhao,0.9590090090090089,0.9425076561725169,0.9720494417862838,0.9580662018922388,0.992638197003543
decision_tree,ponti,0.9207207207207206,0.9054509671614935,0.9269484316852739,0.9119258662549454,0.9310751847589117
logistic_regression,ponti,0.929129129129129,0.9231021347933112,0.9181454248366012,0.9215041343837228,0.9826997259033874
neural_network,ponti,0.9701951951951953,0.954827878519829,0.9824999999999999,0.9682551448523125,0.9709395313149184
xgboost,ponti,0.9289789789789789,0.9116207184628238,0.9506751727804359,0.9188765694698617,0.978373630153816
knn,ponti,0.917942942942943,0.9221121749094895,0.892478354978355,0.9110126334404771,0.9799154707736364
decision_tree,semiz,0.909984984984985,0.8961147757471288,0.9297152194211018,0.9360871018499466,0.9467657162164498
logistic_regression,semiz,0.9345345345345345,0.930296574770259,0.954877720318897,0.931235418126304,0.9848922222241647
neural_network,semiz,0.9809309309309308,0.9604003498632656,1.0,0.9794984056010518,0.9816152597402598
xgboost,semiz,0.9507507507507509,0.9375766940504793,0.9670751633986929,0.9522158893864244,0.9900173039286368
knn,semiz,0.9372372372372372,0.9267449874686717,0.8697007223942208,0.9063056053630808,0.9785264359930576
decision_tree,zhao,0.9426426426426426,0.923358390405604,0.9422115895800106,0.9306960112233945,0.9465879158681018
logistic_regression,zhao,0.9534534534534533,0.9379917876241406,0.9655100150107889,0.9484488243201854,0.9916314935064936
neural_network,zhao,0.956006006006006,0.9316323897980243,0.9768954248366013,0.9527191114130531,0.9586852212974504
xgboost,zhao,0.94512012012012,0.921138569462873,0.9783082706766917,0.9522240913704328,0.9815904798227454
knn,zhao,0.9536036036036035,0.9275659737579243,0.9776374680306905,0.9575190711374922,0.9910619640474208
decision_tree,ponti,0.9097597597597596,0.8989412630040574,0.8965810813265047,0.8981958198142677,0.9152255330473574
logistic_regression,ponti,0.925975975975976,0.9249094941006707,0.9292484051036682,0.9190606001257088,0.9878148723257418
neural_network,ponti,0.962012012012012,0.9458813700918963,0.9749019607843138,0.9590154175915814,0.9619808058616277
xgboost,ponti,0.9316816816816816,0.9086487050960737,0.9467606516290725,0.9284197193402545,0.9793849764786297
knn,ponti,0.9152402402402403,0.9153175831736204,0.9054358713182242,0.9205931703378468,0.9787424062275363
decision_tree,semiz,0.921021021021021,0.894313909774436,0.9200053442429603,0.9239113370230356,0.9217597609219126
logistic_regression,semiz,0.9346846846846848,0.9300275353936682,0.9514140129736106,0.9334258707362423,0.9870818754483277
neural_network,semiz,0.9782282282282282,0.9642857142857142,0.9888888888888889,0.9759004139491945,0.9795734434124528
xgboost,semiz,0.9534534534534533,0.9321440242763772,0.9635086726998493,0.9533853711977818,0.9874233605948002
knn,semiz,0.9012012012012013,0.9279333373025324,0.8703519214703425,0.9169386552024124,0.978977092995509
decision_tree,zhao,0.94009009009009,0.913609022556391,0.9572680097680099,0.9421720665611613,0.9547748595871983
logistic_regression,zhao,0.9535285285285285,0.9307346965899598,0.9633333333333333,0.9489427239427238,0.9897026097901888
neural_network,zhao,0.9617117117117117,0.9457279067233302,0.9826044891640866,0.9627463618889764,0.9609973770209838
xgboost,zhao,0.9451951951951953,0.9188283208020052,0.9368362807642994,0.9321745622798255,0.9836123999822568
knn,zhao,0.9618618618618617,0.9314164086687307,0.982638888888889,0.9529870521782288,0.9902185120760201
decision_tree,ponti,0.9045045045045045,0.9071079213184478,0.8972849944360242,0.8959374874986465,0.8997862148760067
logistic_regression,ponti,0.9261261261261262,0.9237435053766323,0.9309383306751726,0.922691893174972,0.9854105493390447
neural_network,ponti,0.9534534534534534,0.942122887432485,0.9674747474747475,0.9533795761651989,0.9529807947900053
xgboost,ponti,0.9371621621621621,0.9136205096073517,0.9499708216619981,0.9267063836970157,0.9784819750449294
knn,ponti,0.9289789789789789,0.9195325937392502,0.9196178559142956,0.9147678731733274,0.9730700553746219
decision_tree,semiz,0.9398648648648649,0.8931128623698283,0.9526483327884929,0.912284031624589,0.9546406521418636
logistic_regression,semiz,0.940015015015015,0.9219034886681945,0.94984544695071,0.9386921465242966,0.9892720716675825
neural_network,semiz,0.9808558558558559,0.9635344611528822,1.0,0.980890090964777,0.9806059532890197
xgboost,semiz,0.9507507507507507,0.930667578035999,0.9673413312693497,0.945908748874893,0.9900160631963176
knn,semiz,0.9183933933933932,0.9458697838109602,0.8864746145667197,0.9235544492379871,0.9797453184703249
decision_tree,zhao,0.9232732732732734,0.9090212423642227,0.9621031746031747,0.9112242265521957,0.9469420366127597
logistic_regression,zhao,0.9479729729729728,0.9294951393635603,0.9666812865497076,0.945967110298441,0.9899031289193786
neural_network,zhao,0.9674174174174175,0.9433230134158928,0.9888888888888889,0.964835371085371,0.9699895572263995
xgboost,zhao,0.9562312312312311,0.9201967083259989,0.9658965217788748,0.9376302105963547,0.9828488494728344
knn,zhao,0.9508258258258258,0.933511890586194,0.9837009803921569,0.9560630312653352,0.9909453101001706
decision_tree,ponti,0.929129129129129,0.8831423478482302,0.907577500048896,0.8986102946710608,0.9337161658478736
logistic_regression,ponti,0.9235735735735734,0.9272671875767852,0.9210215780091942,0.9220822234651755,0.9854100089904595
neural_network,ponti,0.9619369369369369,0.9399516419253262,0.9845714285714287,0.9611578894116034,0.9621187058555479
xgboost,ponti,0.9345345345345345,0.927933470038733,0.9466880970542298,0.932179267682676,0.9814061324334802
knn,ponti,0.917942942942943,0.922454302233714,0.9216368517103811,0.9247684913060382,0.9746567927853403
