model_name,biomarker_set,accuracy,precision,recall,f1,AUC,TP,FP,TN,FN
xgboost,semiz,0.953551912568306,0.9289617486338798,0.9770114942528736,0.9523809523809524,0.98935894214145,170,13,179,4
knn,semiz,0.9180327868852459,0.9444444444444444,0.8793103448275862,0.9107142857142858,0.9790606717801538,153,9,183,21
decision_tree,zhao,0.9289617486338798,0.9157303370786517,0.9367816091954023,0.9261363636363636,0.9539764239028946,163,15,177,11
logistic_regression,zhao,0.953551912568306,0.9337016574585635,0.9712643678160919,0.952112676056338,0.9908608871026633,169,12,180,5
neural_network,zhao,0.9753753753753752,0.954132312345228,0.9923076923076923,0.9721852965026386,0.9734360286997203,173,8,184,1
xgboost,zhao,0.9508196721311475,0.9239130434782609,0.9770114942528736,0.9497206703910613,0.9817117217470352,170,14,178,4
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9907056592036275,170,12,180,4
decision_tree,ponti,0.912568306010929,0.8901098901098901,0.9310344827586207,0.9101123595505618,0.926501944533981,162,20,172,12
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9855684937912104,161,13,179,13
neural_network,ponti,0.9646396396396397,0.9575675217455404,0.9702205882352942,0.9630876516736919,0.9625538535252158,169,8,184,5
xgboost,ponti,0.9344262295081968,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.9750439784566141,165,15,177,9
knn,ponti,0.9207650273224044,0.9190751445086706,0.9137931034482759,0.9164265129682997,0.9804708441834485,159,14,178,15
decision_tree,semiz,0.9153005464480874,0.9085714285714286,0.9137931034482759,0.9111747851002865,0.9329488520595332,159,16,176,15
logistic_regression,semiz,0.9371584699453552,0.9265536723163842,0.9425287356321839,0.9344729344729344,0.9870444736012107,164,13,179,10
neural_network,semiz,0.9698948948948948,0.9625292397660818,0.972689075630252,0.9655598176992161,0.9670213223309199,170,7,185,4
xgboost,semiz,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9848321858907907,168,12,180,6
knn,semiz,0.9316939890710383,0.9461077844311377,0.9080459770114943,0.9266862170087976,0.9750460378245915,158,9,183,16
decision_tree,zhao,0.9398907103825137,0.9222222222222223,0.9540229885057471,0.9378531073446328,0.9478190222660036,166,14,178,8
logistic_regression,zhao,0.9480874316939891,0.9281767955801105,0.9655172413793104,0.9464788732394367,0.9892552609508541,168,13,179,6
neural_network,zhao,0.9535285285285283,0.9346325212006998,0.9764868421052633,0.9529810869476693,0.9575946977952127,169,12,180,5
xgboost,zhao,0.953551912568306,0.9243243243243243,0.9827586206896551,0.9526462395543176,0.9847716892837507,171,14,178,3
knn,zhao,0.9590163934426229,0.9392265193370166,0.9770114942528736,0.9577464788732395,0.9901518548269458,170,11,181,4
decision_tree,ponti,0.8989071038251366,0.8870056497175142,0.9022988505747126,0.8945868945868947,0.9106170812453203,157,20,172,17
logistic_regression,ponti,0.9234972677595629,0.9244186046511628,0.9137931034482759,0.9190751445086706,0.983501056691846,159,13,179,15
neural_network,ponti,0.9593093093093092,0.9326879730811957,0.988562091503268,0.9588481898135598,0.9608634107550514,172,13,179,2
xgboost,ponti,0.9344262295081968,0.9120879120879121,0.9540229885057471,0.9325842696629213,0.9772615157889926,166,16,176,8
knn,ponti,0.9207650273224044,0.9289940828402367,0.9022988505747126,0.9154518950437318,0.9749567822743133,157,12,180,17
decision_tree,semiz,0.9234972677595629,0.8924731182795699,0.9540229885057471,0.9222222222222222,0.9490628849695346,166,20,172,8
logistic_regression,semiz,0.9371584699453552,0.9217877094972067,0.9482758620689655,0.9348441926345609,0.9864807109151821,165,14,178,9
neural_network,semiz,0.9807807807807807,0.960829279080053,1.0,0.9795163331347542,0.9822282688819234,174,7,185,0
xgboost,semiz,0.9453551912568307,0.9375,0.9482758620689655,0.9428571428571428,0.9906753961552723,165,11,181,9
knn,semiz,0.9098360655737705,0.9325153374233128,0.8735632183908046,0.9020771513353116,0.9794582422669986,152,11,181,22
decision_tree,zhao,0.9316939890710383,0.907103825136612,0.9540229885057471,0.9299719887955182,0.9466772444853909,166,17,175,8
logistic_regression,zhao,0.9508196721311475,0.9285714285714286,0.9712643678160919,0.949438202247191,0.9893855286869992,169,13,179,5
neural_network,zhao,0.9672672672672672,0.945263090882286,0.9881944444444445,0.9650783398350817,0.9688681457431457,172,10,182,2
xgboost,zhao,0.9371584699453552,0.9171270718232044,0.9540229885057471,0.9352112676056338,0.9824014696699166,166,15,177,8
knn,zhao,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9878484422204977,169,11,181,5
decision_tree,ponti,0.9207650273224044,0.8961748633879781,0.9425287356321839,0.9187675070028011,0.9119400299992405,164,19,173,10
logistic_regression,ponti,0.9262295081967213,0.9248554913294798,0.9195402298850575,0.9221902017291066,0.9831125210072578,160,13,179,14
neural_network,ponti,0.97012012012012,0.9548360484544695,0.9830065359477125,0.9685016509108317,0.9710136750074831,171,8,184,3
xgboost,ponti,0.9289617486338798,0.9065934065934066,0.9482758620689655,0.9269662921348315,0.9752114566624371,165,17,175,9
knn,ponti,0.9207650273224044,0.9190751445086706,0.9137931034482759,0.9164265129682997,0.9752370577033286,159,14,178,15
decision_tree,semiz,0.9180327868852459,0.9186046511627907,0.9080459770114943,0.9132947976878613,0.9299648599272246,158,14,178,16
logistic_regression,semiz,0.9398907103825137,0.9318181818181818,0.9425287356321839,0.9371428571428572,0.9905515564002083,164,12,180,10
neural_network,semiz,0.9755255255255255,0.9527374586198116,1.0,0.9753500762803089,0.9764677318295739,174,9,183,0
xgboost,semiz,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9851528205944975,168,12,180,6
knn,semiz,0.9207650273224044,0.9239766081871345,0.9080459770114943,0.9159420289855073,0.9770353056257675,158,13,179,16
decision_tree,zhao,0.9480874316939891,0.9329608938547486,0.9597701149425287,0.9461756373937676,0.9573707789201757,167,12,180,7
logistic_regression,zhao,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.987855311782574,168,12,180,6
neural_network,zhao,0.9726726726726727,0.9510619195046439,0.99375,0.9714683134325991,0.9730041486291485,173,9,183,1
xgboost,zhao,0.953551912568306,0.9243243243243243,0.9827586206896551,0.9526462395543176,0.9831596690633069,171,14,178,3
knn,zhao,0.953551912568306,0.9337016574585635,0.9712643678160919,0.952112676056338,0.9910503643243581,169,12,180,5
decision_tree,ponti,0.9016393442622951,0.8920454545454546,0.9022988505747126,0.8971428571428571,0.9169524893916916,157,19,173,17
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9821171850613902,161,13,179,13
neural_network,ponti,0.9646396396396397,0.9392700501253133,0.9878676470588236,0.9623536611077685,0.9664822065189712,172,11,181,2
xgboost,ponti,0.9289617486338798,0.9157303370786517,0.9367816091954023,0.9261363636363636,0.9806953923468932,163,15,177,11
knn,ponti,0.9153005464480874,0.9230769230769231,0.896551724137931,0.9096209912536444,0.9769087361255091,156,13,179,18
decision_tree,semiz,0.9234972677595629,0.9055555555555556,0.9367816091954023,0.9209039548022598,0.9449901928205705,163,17,175,11
logistic_regression,semiz,0.9398907103825137,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.9866400194447795,165,13,179,9
neural_network,semiz,0.9782282282282282,0.9573308270676693,0.9947368421052631,0.9752431138135809,0.9804129715313925,173,7,185,1
xgboost,semiz,0.9453551912568307,0.9277777777777778,0.9597701149425287,0.943502824858757,0.9870249087027366,167,13,179,7
knn,semiz,0.9153005464480874,0.9386503067484663,0.8793103448275862,0.9080118694362017,0.9757305966041369,153,10,182,21
decision_tree,zhao,0.9289617486338798,0.8978494623655914,0.9597701149425287,0.9277777777777778,0.9611142671979145,167,19,173,7
logistic_regression,zhao,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9897047582544595,168,12,180,6
neural_network,zhao,0.9644894894894895,0.9411680469289164,0.9832323232323233,0.9601111133639266,0.96736769955191,171,10,182,3
xgboost,zhao,0.9480874316939891,0.9234972677595629,0.9712643678160919,0.9467787114845938,0.9838566937496246,169,14,178,5
knn,zhao,0.953551912568306,0.9289617486338798,0.9770114942528736,0.9523809523809524,0.9903042663104582,170,13,179,4
decision_tree,ponti,0.9180327868852459,0.9090909090909091,0.9195402298850575,0.9142857142857144,0.9287428603817922,160,16,176,14
logistic_regression,ponti,0.9234972677595629,0.9244186046511628,0.9137931034482759,0.9190751445086706,0.9832729341736695,159,13,179,15
neural_network,ponti,0.962087087087087,0.9297461300309597,0.99375,0.95885472077394,0.9651909232072275,173,13,179,1
xgboost,ponti,0.9234972677595629,0.9010989010989011,0.9425287356321839,0.9213483146067416,0.9779465145600014,164,18,174,10
knn,ponti,0.9234972677595629,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.9751280621897882,160,14,178,14
decision_tree,semiz,0.9426229508196722,0.9273743016759777,0.9540229885057471,0.9405099150141643,0.9335278914197259,166,13,179,8
logistic_regression,semiz,0.9426229508196722,0.9322033898305084,0.9482758620689655,0.94017094017094,0.9871970943573111,165,12,180,9
neural_network,semiz,0.97012012012012,0.945749914000688,0.99375,0.9684310757994968,0.9718446210222528,173,10,182,1
xgboost,semiz,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9857295352351467,170,12,180,4
knn,semiz,0.9180327868852459,0.9337349397590361,0.8908045977011494,0.911764705882353,0.9789959657108458,155,11,181,19
decision_tree,zhao,0.9371584699453552,0.9217877094972067,0.9482758620689655,0.9348441926345609,0.9579970844279634,165,14,178,9
logistic_regression,zhao,0.9480874316939891,0.9281767955801105,0.9655172413793104,0.9464788732394367,0.9870650546014967,168,13,179,6
neural_network,zhao,0.962087087087087,0.9398923402019378,0.9822222222222223,0.9595743535743537,0.9635625996810206,171,11,181,3
xgboost,zhao,0.9480874316939891,0.9234972677595629,0.9712643678160919,0.9467787114845938,0.9853206588997493,169,14,178,5
knn,zhao,0.9508196721311475,0.9285714285714286,0.9712643678160919,0.949438202247191,0.9906728316403239,169,13,179,5
decision_tree,ponti,0.912568306010929,0.8944444444444445,0.9252873563218391,0.9096045197740114,0.9231304978131604,161,19,173,13
logistic_regression,ponti,0.9234972677595629,0.9244186046511628,0.9137931034482759,0.9190751445086706,0.9875681367864871,159,13,179,15
neural_network,ponti,0.9673423423423422,0.9564975551624159,0.9763398692810459,0.9656445080536891,0.967231271695281,170,8,184,4
